rank;actividad;importe;movimientos
279;GARAJES APARCAMIENTOS NIVEL 5;496;20
280;V.INTERNET CONTENIDO DIGITAL AUDIO VISUA;491;17
281;CARREFOUR GASOLINERAS TNA;488;9
282;KIOSCOS;482;6
283;RADISSON HOTELS;464;3
284;HOTELES RESTO NIVEL2;462;3
285;I.T.V.(INSPECCIðN TðCNICA DE VEHðCULOS);460;12
286;LUFTHANSA;457;1
287;GOLDEN TULIP HOTELS;456;1
288;SUSCRIPCION A PUBLICACIONEES PERIODICAS;432;2
289;OFFICE PHOTOGRAPHIC;430;1
290;MEMBERSHIP ORGANIZATIONS NOT CLASSIFIED;427;2
291;TAILORS, SEAMSTRESS, MENDING, ALTERATION;425;1
292;G. SUPERFICIES DE DROGUERIAS NIVEL 3;424;4
293;MASAJES Y SAUNAS;422;8
294;VENTA POR TELEFONO NIVEL 2;403;1
295;MEDICAL SERVICES & HEALTH PRACTITIONERS;402;2
296;ADIF/RENFE;389;8
297;MUEBLES, ANTIGUEDADES NIVEL 2;386;3
298;TRAILER PARKS & CAMPGROUNDS;384;2
299;DANCE HALLS, STUDIOS & SCHOOLS;384;2
300;V.PRODUCT POR MENOR N4;381;9
301;MANDARIN ORIENTAL HOTEL;380;2
302;AKI BRICOBI;373;5
303;AGENCIAS VIAJES N4;370;1
304;VENTA DE ENTRADA CON TERMINALES NO ATE;369;19
305;VODAFONE V EQUIPOS;369;1
306;FUEL DEALERS - FUEL OIL, WOOD, COAL, ..;368;5
307;LOCUTORIOS TELEFONICOS;367;7
308;TINTORERIAS Y LAVANDERIAS;365;15
309;ELECTRICAL PARTS & EQUIPMENT;363;7
310;TRANSPORTE URBANO;359;12
311;HO JO INN/HOWARS JOHNSON;349;1
312;GASOLINERAS CON TERMINALES NO ATENDIDOS;338;9
313;GLOBALIA AUTOMOVILES;336;5
314;ESPECTACULOS Y DEP NIVEL2;323;5
315;ENSE#ANZA UNIVERSITARIA(CTOS.OFICIALES);323;3
316;BANDS, ORCHESTRAS & MISCELLANEOUS ENTERT;320;1
317;SUSCRIPCIONES PERIODICAS NIVEL 3;318;1
318;LIBRERIA PAPELERIA NIVEL 5;318;2
319;TIENDA DE GOLOSINAS;310;9
320;GARAJES Y APARCAMIENTOS NIVEL 5;308;16
321;DONACIONES A SOCIEDADES DE CARIDAD SIN A;304;2
322;BUDGET RENT A CAR;300;2
323;WESTIN (WESTIN HOTELS);298;1
324;MARROQUINERIA ART VIAJES NIVEL 3;295;1
325;COMERCIO ELECTRONICO NIVEL 2;290;18
326;EROSKI(GASOLINERAS);290;6
327;MARITIM HOTELS;284;1
328;GENERAL CONTRACTORS/RESIDENTIAL BUILDING;282;2
329;IBERIA V A BORDO;281;3
330;BAZARES Y REGALOS NIVEL 2;278;4
331;CARREFOUR GASOLINERAS;276;4
332;LOT (POLAND);272;2
333;PRECIOUS STONES&METALS,WATCHES & JEWELRY;251;1
334;HOLIDAY RENT A CAR;245;2
335;ZAPATERIAS NIVEL 4;240;4
336;MANGO;239;4
337;CONSIGNAS AUTOMATICAS;232;7
